,date,cases_new,cases_pvax,cases_fvax,cases_vax,month,year,monthly
130,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
131,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
132,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
133,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
134,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
135,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
136,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
137,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
138,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
139,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
140,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
141,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
142,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
143,2020-02-02,0,0.0,0.0,0.0,2,2020,2020-02
144,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
145,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
146,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
147,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
148,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
149,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
150,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
151,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
152,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
153,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
154,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
155,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
156,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
157,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
158,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
159,2020-03-02,0,0.0,0.0,0.0,3,2020,2020-03
160,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
161,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
162,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
163,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
164,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
165,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
166,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
167,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
168,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
169,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
170,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
171,2020-04-02,1,0.0,0.0,0.0,4,2020,2020-04
172,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
173,2020-04-02,1,0.0,0.0,0.0,4,2020,2020-04
174,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
175,2020-04-02,0,0.0,0.0,0.0,4,2020,2020-04
176,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
177,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
178,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
179,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
180,2020-05-02,2,0.0,0.0,0.0,5,2020,2020-05
181,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
182,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
183,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
184,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
185,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
186,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
187,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
188,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
189,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
190,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
191,2020-05-02,0,0.0,0.0,0.0,5,2020,2020-05
192,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
193,2020-06-02,1,0.0,0.0,0.0,6,2020,2020-06
194,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
195,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
196,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
197,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
198,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
199,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
200,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
201,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
202,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
203,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
204,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
205,2020-06-02,1,0.0,0.0,0.0,6,2020,2020-06
206,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
207,2020-06-02,0,0.0,0.0,0.0,6,2020,2020-06
208,2020-07-02,1,0.0,0.0,0.0,7,2020,2020-07
209,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
210,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
211,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
212,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
213,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
214,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
215,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
216,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
217,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
218,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
219,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
220,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
221,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
222,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
223,2020-07-02,0,0.0,0.0,0.0,7,2020,2020-07
224,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
225,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
226,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
227,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
228,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
229,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
230,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
231,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
232,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
233,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
234,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
235,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
236,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
237,2020-08-02,1,0.0,0.0,0.0,8,2020,2020-08
238,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
239,2020-08-02,0,0.0,0.0,0.0,8,2020,2020-08
240,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
241,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
242,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
243,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
244,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
245,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
246,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
247,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
248,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
249,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
250,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
251,2020-09-02,1,0.0,0.0,0.0,9,2020,2020-09
252,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
253,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
254,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
255,2020-09-02,0,0.0,0.0,0.0,9,2020,2020-09
256,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
257,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
258,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
259,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
260,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
261,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
262,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
263,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
264,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
265,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
266,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
267,2020-10-02,1,0.0,0.0,0.0,10,2020,2020-10
268,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
269,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
270,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
271,2020-10-02,0,0.0,0.0,0.0,10,2020,2020-10
272,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
273,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
274,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
275,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
276,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
277,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
278,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
279,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
280,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
281,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
282,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
283,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
284,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
285,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
286,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
287,2020-11-02,0,0.0,0.0,0.0,11,2020,2020-11
288,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
289,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
290,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
291,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
292,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
293,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
294,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
295,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
296,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
297,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
298,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
299,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
300,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
301,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
302,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
303,2020-12-02,0,0.0,0.0,0.0,12,2020,2020-12
304,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
305,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
306,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
307,2020-02-13,0,0.0,0.0,0.0,2,2020,2020-02
